,participant,cost,likelihood
566,37,cost_400,90.0
567,37,cost_500,86.0
568,37,cost_600,87.0
569,37,cost_700,70.0
570,37,cost_800,61.0
571,37,cost_900,51.0
572,37,cost_1000,35.0
573,37,cost_1100,0.0
574,38,cost_0,100.0
575,38,cost_25,100.0
576,38,cost_50,100.0
577,38,cost_100,100.0
578,38,cost_200,70.0
579,38,cost_300,60.0
580,38,cost_400,50.0
581,38,cost_500,50.0
582,38,cost_600,51.0
583,38,cost_700,40.0
584,38,cost_800,30.0
585,38,cost_900,30.0
586,38,cost_1000,30.0
587,38,cost_1100,30.0
588,38,cost_1200,30.0
589,38,cost_1300,30.0
590,38,cost_1400,31.0
591,38,cost_1500,30.0
592,38,cost_1600,28.0
593,38,cost_1700,26.0
594,38,cost_1800,17.0
595,38,cost_1900,11.0
596,38,cost_2000,8.0
597,38,cost_2100,3.0
598,38,cost_2200,6.0
599,38,cost_2300,11.0
600,38,cost_2400,5.0
601,38,cost_2500,8.0
602,38,cost_2600,8.0
603,38,cost_2700,8.0
604,38,cost_2800,6.0
605,38,cost_2900,7.0
606,38,cost_3000,8.0
607,39,cost_0,100.0
608,39,cost_50,38.0
609,39,cost_100,0.0
610,40,cost_0,100.0
611,40,cost_25,100.0
612,40,cost_50,100.0
613,40,cost_100,100.0
614,40,cost_200,60.0
615,40,cost_300,60.0
616,40,cost_400,30.0
617,40,cost_500,30.0
618,40,cost_600,30.0
619,40,cost_700,20.0
620,40,cost_800,20.0
621,40,cost_900,20.0
622,40,cost_1000,0.0
623,41,cost_0,100.0
624,41,cost_25,100.0
625,41,cost_50,92.0
626,41,cost_100,81.0
627,41,cost_200,58.0
628,41,cost_300,33.0
629,41,cost_400,27.0
630,41,cost_500,11.0
631,41,cost_600,9.0
632,41,cost_700,7.0
633,41,cost_800,5.0
634,41,cost_900,4.0
635,41,cost_1000,0.0
636,42,cost_0,100.0
637,42,cost_25,100.0
638,42,cost_50,100.0
639,42,cost_100,100.0
640,42,cost_300,7.0
641,42,cost_400,0.0
642,43,cost_0,100.0
643,43,cost_25,100.0
644,43,cost_50,100.0
645,43,cost_100,100.0
646,43,cost_200,100.0
647,43,cost_300,100.0
648,43,cost_400,100.0
649,43,cost_500,100.0
650,43,cost_600,80.0
651,43,cost_700,80.0
652,43,cost_800,80.0
653,43,cost_900,80.0
654,43,cost_1000,80.0
655,43,cost_1100,70.0
656,43,cost_1200,70.0
657,43,cost_1300,70.0
658,43,cost_1400,70.0
659,43,cost_1500,70.0
660,43,cost_1600,70.0
661,43,cost_1700,70.0
662,43,cost_1800,70.0
663,43,cost_1900,70.0
664,43,cost_2000,70.0
665,43,cost_2100,60.0
666,43,cost_2200,60.0
667,43,cost_2300,60.0
668,43,cost_2400,60.0
669,43,cost_2500,60.0
670,43,cost_2600,60.0
671,43,cost_2700,60.0
672,43,cost_2800,60.0
673,43,cost_2900,60.0
674,43,cost_3000,60.0
675,44,cost_0,100.0
676,44,cost_25,100.0
677,44,cost_50,100.0
678,44,cost_100,100.0
679,44,cost_200,70.0
680,44,cost_300,60.0
681,44,cost_800,45.0
682,44,cost_900,45.0
683,44,cost_1000,30.0
684,44,cost_1100,30.0
685,44,cost_1200,30.0
686,44,cost_1300,25.0
687,44,cost_1400,25.0
688,44,cost_1500,20.0
689,44,cost_1600,20.0
690,44,cost_1700,20.0
691,44,cost_1800,20.0
692,44,cost_1900,10.0
693,44,cost_2000,11.0
694,44,cost_2100,0.0
695,46,cost_0,100.0
696,46,cost_25,100.0
697,46,cost_50,100.0
698,46,cost_100,91.0
699,46,cost_200,71.0
700,46,cost_300,58.0
701,46,cost_500,22.0
702,46,cost_600,17.0
703,46,cost_700,10.0
704,46,cost_800,11.0
705,46,cost_900,9.0
706,46,cost_1000,11.0
707,46,cost_1100,6.0
708,46,cost_1200,14.0
709,46,cost_1300,5.0
710,46,cost_1400,3.0
711,46,cost_1500,4.0
712,46,cost_1600,4.0
713,46,cost_1700,4.0
714,46,cost_1800,8.0
715,46,cost_1900,5.0
716,46,cost_2000,6.0
717,46,cost_2100,6.0
718,46,cost_2200,4.0
719,46,cost_2300,5.0
720,46,cost_2400,12.0
721,46,cost_2500,0.0
722,47,cost_0,100.0
723,47,cost_25,100.0
724,47,cost_50,90.0
725,47,cost_100,85.0
726,47,cost_200,80.0
727,47,cost_300,75.0
728,47,cost_400,60.0
729,47,cost_500,50.0
730,47,cost_600,36.0
731,47,cost_700,15.0
732,47,cost_800,0.0
733,48,cost_0,100.0
734,48,cost_25,100.0
735,48,cost_50,100.0
736,48,cost_100,100.0
737,48,cost_200,100.0
738,48,cost_300,80.0
739,50,cost_0,100.0
740,50,cost_25,100.0
741,50,cost_50,100.0
742,50,cost_100,100.0
743,50,cost_200,100.0
744,50,cost_300,100.0
745,50,cost_400,100.0
746,50,cost_500,50.0
747,50,cost_600,50.0
